iter	Logloss
0	0.6559809746
1	0.6152294414
2	0.5787280816
3	0.5517869717
4	0.522058813
5	0.4952173906
6	0.4716687633
7	0.4509628913
8	0.4326252948
9	0.4151825004
10	0.4008893643
11	0.3881660089
12	0.3761981818
13	0.3657946269
14	0.3583412952
15	0.3518194199
16	0.3439055817
17	0.3380426566
18	0.3305167408
19	0.3245495952
20	0.3190773068
21	0.3144156267
22	0.3097529764
23	0.3054772476
24	0.301078365
25	0.2972724059
26	0.2937120528
27	0.2907686819
28	0.2881186734
29	0.2852680137
30	0.2825034484
31	0.2802704786
32	0.2783710716
33	0.2765753312
34	0.2747515716
35	0.2728993014
36	0.2711180097
37	0.269434064
38	0.2678194152
39	0.2661196484
40	0.2648139511
41	0.2636121083
42	0.262614711
43	0.2617903846
44	0.2606496095
45	0.2597556791
46	0.2588388186
47	0.2581799298
48	0.2573130968
49	0.2565054
50	0.2558303383
51	0.2548138803
52	0.2541085927
53	0.2533092579
54	0.2524013497
55	0.2517304008
56	0.2509678657
57	0.2502821732
58	0.2496688852
59	0.2490436437
60	0.2485142513
61	0.2477018764
62	0.2470888729
63	0.2466688936
64	0.2459937873
65	0.2454796505
66	0.2450625273
67	0.2447105614
68	0.2442707738
69	0.2437497212
70	0.243259656
71	0.242859453
72	0.2425260964
73	0.2420984246
74	0.2415760565
75	0.2411334627
76	0.2407300954
77	0.2404252031
78	0.2400937032
79	0.2397691503
80	0.2393586014
81	0.2389163142
82	0.2386403693
83	0.238395512
84	0.2378851258
85	0.2375540433
86	0.2370494133
87	0.2368879127
88	0.2365925649
89	0.2363004116
90	0.2357195992
91	0.2354021762
92	0.2351261514
93	0.2348141108
94	0.234594437
95	0.2342640471
96	0.2340653468
97	0.2338613927
98	0.2336434359
99	0.2333654876
100	0.2330853486
101	0.2328100643
102	0.2324648557
103	0.2322168382
104	0.2319387366
105	0.2317014305
106	0.2314768902
107	0.2312108802
108	0.2310503135
109	0.2307443507
110	0.2305671181
111	0.2303408678
112	0.2300903267
113	0.2298712188
114	0.2296416371
115	0.2293799734
116	0.2292006154
117	0.2289287972
118	0.2287430743
119	0.228509739
120	0.2282636065
121	0.2280040202
122	0.2278259836
123	0.2276834729
124	0.2273843988
125	0.2272189628
126	0.2270350855
127	0.226872542
128	0.2265210604
129	0.2263550866
130	0.2261628274
131	0.2259748716
132	0.2257467038
133	0.2255621314
134	0.2253782212
135	0.2251997811
136	0.2250388462
137	0.224783683
138	0.2246170041
139	0.2244675756
140	0.2243666639
141	0.2240817023
142	0.2238919276
143	0.2237398376
144	0.2236324598
145	0.2235030093
146	0.2233902909
147	0.223231117
148	0.2230336932
149	0.222728521
150	0.2225858746
151	0.2223692454
152	0.2221626312
153	0.2219644723
154	0.2218207783
155	0.2216632066
156	0.2214823866
157	0.2213310877
158	0.22112357
159	0.2209334738
160	0.2207315842
161	0.2205820999
162	0.2203982337
163	0.2201942089
164	0.2200658449
165	0.2197098089
166	0.2196143391
167	0.2194890104
168	0.2194034014
169	0.2190912361
170	0.2189290694
171	0.2188426642
172	0.2186931179
173	0.2185081359
174	0.218384423
175	0.2181723113
176	0.2179922714
177	0.2178412916
178	0.2176783836
